comment,user_id,user_name,user_level,user_verify
唯一一个被up赞过的，真是排面啊，饼叔,35446898,刹那2017,6,-1
我的心是饼饼的,326011526,LandonArnold,5,-1
回复 @吃花椒的喵酱 :冰冰冰冰冰冰冰冰,22141709,樱花树上摘樱桃,5,-1
饼饼！,12913273,Mon1ca233,6,-1
饼叔，她想多吃几顿火锅[doge],320381,sps1944,5,-1
再见！,24690543,Mr小猪哥,4,-1
回复 @吃花椒的喵酱 :嘿冰冰,279673557,查干湖女神,5,-1
饼叔你来了啊[doge][呆][呆][呆],340148332,不可食用的丸子,5,-1
饼叔你做的好呀！,1766844,丞相炒茄子,6,-1
回复 @地表最强小公举吹 :不至于不至于,286410648,長日將盡,5,-1
感谢饼叔！终于把我的冰冰带回来了！[doge][doge][doge],474689500,半度锦,4,-1
[呆],26080484,放荡不羁爱自由～,5,-1
捞一捞,398215694,清照不写鱼秋,4,-1
饼叔来蹭热度了[doge],23798495,MeM07herF,5,-1
回复 @地表最强小公举吹 :Me too,8067659,ggsddu_st,6,-1
[呆][呆][呆],165784021,红红火火恍恍惚惚甩笔,5,-1
回复 @地表最强小公举吹 :恰烂钱要不得啊[妙啊],143961705,不愧是小刘啊,5,-1
[doge],329300302,唯笑的忧伤,4,-1
我的心永远是[呆][呆]的,323946036,白日梦蓝-_,5,-1
[呆][呆][呆][呆][呆][呆],23628526,豆姐爱猫猫,6,-1
虽然我的心是冰冰的，但是我也爱饼饼,2337125,洗衣欧,6,-1
回复 @吃花椒的喵酱 :老婆,697872700,梦墨澪,3,-1
。。。,300702353,吴耐丶,3,-1
跟冰冰的美食节目什么时候出[呆],19426709,洛必达无极限,5,-1
emmmm[呆],43479648,打电话对吧,5,-1
回复 @一颗莫得灵魂的圣晶石 :差不多得了,103475056,信了你嘀邪,5,-1
[热词系列_知识增加],347450319,开挂大师,6,-1
捞叔[呆],188648119,会天马流星拳的胖虎,5,-1
叔力压一众官方号好大滴排面[OK],20593793,西一阿夏夏夏夏,5,-1
回复 @地表最强小公举吹 :再忍忍吧，明天就月初了，不用恰这钱过月底吧[生气],379401671,咕叽_咕咕,3,-1
再吃一顿饭吧,494351981,三闲雅仕,3,-1
回复 @地表最强小公举吹 :好家伙，你这东北口音还挺重[热词系列_知识增加],32947730,Walker小步,5,-1
1,24683174,光电一班唐同学,5,-1
美女与野兽[doge][doge][doge],435873560,风入梧桐,4,-1
叔[呆],12255449,千克啊,6,-1
回复 @地表最强小公举吹 :不至于不至于,101023653,小明戈子,5,-1
借楼，趁冰冰等级低，欺负一下，我做的对吗[doge],236643055,偷冰冰的喵酱,5,-1
饼饼评论了冰冰，冰冰置顶了饼饼,67354195,你见过我的辕辙吗,5,-1
回复 @吃花椒的喵酱 :冰冰才是个二级号，欺负一下[妙啊],475833769,追溯者-栋,4,-1
[呆],56850833,无双杰,5,-1
终于来了[星星眼],242590117,qwe100505,3,-1
回复 @一颗莫得灵魂的圣晶石 :桃子桃子桃子桃子桃子🍑🍑🍑🍑🍑🍑🍑🍑🍑🍑🍑,3429841,手帐er,5,-1
在？更个新？[热词系列_问号],267986107,好烦啊别理我,4,-1
[呆][呆][呆][呆],81162551,-缘起缘落-,5,-1
[呆][呆][呆][呆][呆][呆][呆][呆][呆][呆][呆],423858872,73159856463_bili,4,-1
[呆][呆][呆][呆][呆],17694039,PEI_9,5,-1
[呆][呆][呆][呆][呆],36597694,贼跳跳跳虎呦,4,-1
一天上百大,177658482,无为渐微殇,4,-1
趁她还是个2级号，快欺负她,11197502,-雪中春信-,5,-1
[doge]我的心,422499063,kuerslip,4,-1
你来干嘛了 饼叔,28304954,abadhead,5,-1
评论区禁止曝照[呆],14477577,恶の老饼干Suzuki,6,-1
我的心都是饼饼的不要和我抢[doge][doge][doge],88408091,流逝的时光鸭,5,-1
哈哈哈哈哈饼叔好快,302167541,一个bcl,5,-1
冰冰到了饼饼的地盘了,97177923,岳父大人是只猫,5,-1
回复 @吃花椒的喵酱 :冰冰，我肥来看你啦[害羞][害羞][害羞][害羞],102989446,路过的令和假面骑士03,6,-1
丑拒[doge],109078256,Zyyturbo,4,-1
豹王冰冰，您就是豹王？[思考],227038728,人小比天高,4,-1
[呆]我的心是饼饼的,14119230,卡带小伙儿,5,-1
排面[呆],442039055,广东宏远徐杰,4,-1
回复 @吃花椒的喵酱 :这里有个二级号，大家快来欺负她!!!!,158322624,pantaqqqqqq,4,-1
记得请冰冰多吃几顿火锅,266051052,阿桐木119,5,-1
您也来了哈！,215240,迷途毛,5,-1
回复 @吃花椒的喵酱 :啊，老婆！,324009944,冰冰ぃ,4,-1
回复 @地表最强小公举吹 :这一条赚了多少钱？有钱一起赚？[doge],252064728,吃花椒葫芦的喵酱,4,-1
叔来了[呆],434301125,铁锅Dun大猫,5,-1
我想到了新闻联播开始的音乐，饼冰饼冰~[doge],9525004,爱喝谷粒多的Greed,6,-1
爸爸来找女儿了,20406446,憨直纯真大善人,5,-1
回复 @地表最强小公举吹 :不至于不至于[微笑],387720894,i坤大作战,4,-1
醒醒吧各位 人家有男朋友了 王冰冰男朋友的主页https://space.bilibili.com/[妙啊][doge],160040997,龙猫DJ,5,-1
[笑哭][笑哭][笑哭],12211384,禹晨君,5,-1
食贫道的味儿太重辣,285317319,图本江,5,-1
[鸡腿][鸡腿][鸡腿],120851560,明日乌鸦,5,-1
回复 @地表最强小公举吹 :不至于不至于[doge][doge],34382607,RekenMing,5,-1
冰冰和饼饼我都要[妙啊],410496710,回收废旧腐宅纸片人,4,-1
饼饼！！我最爱的是饼饼,341736951,AEinstein1115,5,-1
